Redshift Table,Databricks Table
raw_demandbase.account_keyword_intent,source.demandbase.account_keyword_intent
raw_demandbase.account_keyword_intent_rollups,source.demandbase.account_keyword_intent_rollups
raw_demandbase.account_list_accounts,source.demandbase.account_list_accounts
raw_demandbase.account_lists,source.demandbase.account_lists
raw_demandbase.account_scores,source.demandbase.account_scores
raw_demandbase.account_site_base_page_metrics,source.demandbase.account_site_base_page_metrics
raw_demandbase.accounts,source.demandbase.accounts
raw_demandbase.all_account_scores,source.demandbase.all_account_scores
raw_demandbase.campaign_account_historical_performances,source.demandbase.campaign_account_historical_performances
raw_demandbase.campaign_account_performances,source.demandbase.campaign_account_performances
raw_demandbase.campaign_performance_rollups,source.demandbase.campaign_performance_rollups
raw_demandbase.campaigns,source.demandbase.campaigns
raw_demandbase.creative_performance,source.demandbase.creative_performance
raw_demandbase.creative_performance_rollups,source.demandbase.creative_performance_rollups
raw_demandbase.daily_creative_summary,source.demandbase.daily_creative_summary
raw_demandbase.keyword_set_keywords,source.demandbase.keyword_set_keywords
raw_demandbase.keyword_sets,source.demandbase.keyword_sets
raw_einstein.legacy_opportunity_snapshots,source.einstein.legacy_opportunity_snapshots
raw_ethical_ads_v2.ad_performance,source.ethical_ads_v2.ad_performance
raw_facebook.adaccounts,source.facebook.adaccounts
raw_facebook.adlabels,source.facebook.adlabels
raw_facebook.ads,source.facebook.ads
raw_facebook.campaigns,source.facebook.campaigns
raw_facebook.customaudiences,source.facebook.customaudiences
raw_facebook_ads.account_history,source.facebook_ads.account_history
raw_facebook_ads.action_canvas_component,source.facebook_ads.action_canvas_component
raw_facebook_ads.action_canvas_component_outbound_clicks,source.facebook_ads.action_canvas_component_outbound_clicks
raw_facebook_ads.action_carousel_card,source.facebook_ads.action_carousel_card
raw_facebook_ads.action_conversion_device,source.facebook_ads.action_conversion_device
raw_facebook_ads.action_conversion_device_outbound_clicks,source.facebook_ads.action_conversion_device_outbound_clicks
raw_facebook_ads.action_reactions,source.facebook_ads.action_reactions
raw_facebook_ads.action_reactions_actions,source.facebook_ads.action_reactions_actions
raw_facebook_ads.action_video_sound,source.facebook_ads.action_video_sound
raw_facebook_ads.action_video_sound_video_p_100_watched_actions,source.facebook_ads.action_video_sound_video_p_100_watched_actions
raw_facebook_ads.action_video_sound_video_p_25_watched_actions,source.facebook_ads.action_video_sound_video_p_25_watched_actions
raw_facebook_ads.action_video_sound_video_p_50_watched_actions,source.facebook_ads.action_video_sound_video_p_50_watched_actions
raw_facebook_ads.action_video_sound_video_p_75_watched_actions,source.facebook_ads.action_video_sound_video_p_75_watched_actions
raw_facebook_ads.action_video_view_type,source.facebook_ads.action_video_view_type
raw_facebook_ads.action_video_view_type_video_30_sec_watched_actions,source.facebook_ads.action_video_view_type_video_30_sec_watched_actions
raw_facebook_ads.action_video_view_type_video_avg_time_watched_actions,source.facebook_ads.action_video_view_type_video_avg_time_watched_actions
raw_facebook_ads.action_video_view_type_video_p_100_watched_actions,source.facebook_ads.action_video_view_type_video_p_100_watched_actions
raw_facebook_ads.action_video_view_type_video_p_25_watched_actions,source.facebook_ads.action_video_view_type_video_p_25_watched_actions
raw_facebook_ads.action_video_view_type_video_p_50_watched_actions,source.facebook_ads.action_video_view_type_video_p_50_watched_actions
raw_facebook_ads.action_video_view_type_video_p_75_watched_actions,source.facebook_ads.action_video_view_type_video_p_75_watched_actions
raw_facebook_ads.action_video_view_type_video_thruplay_watched_actions,source.facebook_ads.action_video_view_type_video_thruplay_watched_actions
raw_facebook_ads.ad_campaign_issues_info,source.facebook_ads.ad_campaign_issues_info
raw_facebook_ads.ad_conversion,source.facebook_ads.ad_conversion
raw_facebook_ads.ad_group_issues_info,source.facebook_ads.ad_group_issues_info
raw_facebook_ads.ad_history,source.facebook_ads.ad_history
raw_facebook_ads.ad_image_history,source.facebook_ads.ad_image_history
raw_facebook_ads.ad_recommendation,source.facebook_ads.ad_recommendation
raw_facebook_ads.ad_set_attribution,source.facebook_ads.ad_set_attribution
raw_facebook_ads.ad_set_custom_audience,source.facebook_ads.ad_set_custom_audience
raw_facebook_ads.ad_set_history,source.facebook_ads.ad_set_history
raw_facebook_ads.ad_tracking,source.facebook_ads.ad_tracking
raw_facebook_ads.ad_video_history,source.facebook_ads.ad_video_history
raw_facebook_ads.ad_video_thumbnail,source.facebook_ads.ad_video_thumbnail
raw_facebook_ads.adset_schedule,source.facebook_ads.adset_schedule
raw_facebook_ads.basic_ad,source.facebook_ads.basic_ad
raw_facebook_ads.basic_ad_actions,source.facebook_ads.basic_ad_actions
raw_facebook_ads.basic_ad_cost_per_action_type,source.facebook_ads.basic_ad_cost_per_action_type
raw_facebook_ads.basic_ad_set,source.facebook_ads.basic_ad_set
raw_facebook_ads.basic_ad_set_actions,source.facebook_ads.basic_ad_set_actions
raw_facebook_ads.basic_ad_set_cost_per_action_type,source.facebook_ads.basic_ad_set_cost_per_action_type
raw_facebook_ads.basic_all_levels,source.facebook_ads.basic_all_levels
raw_facebook_ads.basic_all_levels_actions,source.facebook_ads.basic_all_levels_actions
raw_facebook_ads.basic_all_levels_cost_per_action_type,source.facebook_ads.basic_all_levels_cost_per_action_type
raw_facebook_ads.basic_campaign,source.facebook_ads.basic_campaign
raw_facebook_ads.basic_campaign_actions,source.facebook_ads.basic_campaign_actions
raw_facebook_ads.basic_campaign_cost_per_action_type,source.facebook_ads.basic_campaign_cost_per_action_type
raw_facebook_ads.campaign_history,source.facebook_ads.campaign_history
raw_facebook_ads.creative_history,source.facebook_ads.creative_history
raw_facebook_ads.custom_audience_history,source.facebook_ads.custom_audience_history
raw_facebook_ads.custom_conversion_history,source.facebook_ads.custom_conversion_history
raw_facebook_ads.delivery_device,source.facebook_ads.delivery_device
raw_facebook_ads.delivery_device_actions,source.facebook_ads.delivery_device_actions
raw_facebook_ads.delivery_device_cost_per_action_type,source.facebook_ads.delivery_device_cost_per_action_type
raw_facebook_ads.delivery_platform,source.facebook_ads.delivery_platform
raw_facebook_ads.delivery_platform_actions,source.facebook_ads.delivery_platform_actions
raw_facebook_ads.delivery_platform_and_device,source.facebook_ads.delivery_platform_and_device
raw_facebook_ads.delivery_platform_and_device_actions,source.facebook_ads.delivery_platform_and_device_actions
raw_facebook_ads.delivery_platform_and_device_cost_per_action_type,source.facebook_ads.delivery_platform_and_device_cost_per_action_type
raw_facebook_ads.delivery_platform_cost_per_action_type,source.facebook_ads.delivery_platform_cost_per_action_type
raw_facebook_ads.delivery_purchase_roas,source.facebook_ads.delivery_purchase_roas
raw_facebook_ads.delivery_purchase_roas_outbound_clicks,source.facebook_ads.delivery_purchase_roas_outbound_clicks
raw_facebook_ads.demographics_age,source.facebook_ads.demographics_age
raw_facebook_ads.demographics_age_actions,source.facebook_ads.demographics_age_actions
raw_facebook_ads.demographics_age_and_gender,source.facebook_ads.demographics_age_and_gender
raw_facebook_ads.demographics_age_and_gender_actions,source.facebook_ads.demographics_age_and_gender_actions
raw_facebook_ads.demographics_age_and_gender_cost_per_action_type,source.facebook_ads.demographics_age_and_gender_cost_per_action_type
raw_facebook_ads.demographics_age_cost_per_action_type,source.facebook_ads.demographics_age_cost_per_action_type
raw_facebook_ads.demographics_country,source.facebook_ads.demographics_country
raw_facebook_ads.demographics_country_actions,source.facebook_ads.demographics_country_actions
raw_facebook_ads.demographics_country_cost_per_action_type,source.facebook_ads.demographics_country_cost_per_action_type
raw_facebook_ads.demographics_dma_region,source.facebook_ads.demographics_dma_region
raw_facebook_ads.demographics_dma_region_actions,source.facebook_ads.demographics_dma_region_actions
raw_facebook_ads.demographics_dma_region_cost_per_action_type,source.facebook_ads.demographics_dma_region_cost_per_action_type
raw_facebook_ads.demographics_gender,source.facebook_ads.demographics_gender
raw_facebook_ads.demographics_gender_actions,source.facebook_ads.demographics_gender_actions
raw_facebook_ads.demographics_gender_cost_per_action_type,source.facebook_ads.demographics_gender_cost_per_action_type
raw_facebook_ads.demographics_region,source.facebook_ads.demographics_region
raw_facebook_ads.demographics_region_actions,source.facebook_ads.demographics_region_actions
raw_facebook_ads.demographics_region_cost_per_action_type,source.facebook_ads.demographics_region_cost_per_action_type
raw_facebook_ads.frequency_control,source.facebook_ads.frequency_control
raw_facebook_ads.label_history,source.facebook_ads.label_history
raw_facebook_ads.lookalike_origin,source.facebook_ads.lookalike_origin
raw_facebook_ads.lookalike_target_country,source.facebook_ads.lookalike_target_country
raw_facebook_ads.marketing_mix_modeling,source.facebook_ads.marketing_mix_modeling
raw_facebook_ads.pacing_type,source.facebook_ads.pacing_type
raw_facebook_ads.reach_frequency,source.facebook_ads.reach_frequency
raw_facebook_ads.targeting_optimization_types,source.facebook_ads.targeting_optimization_types
raw_feature_personalization_ai.active_applications,source.feature_personalization_ai.active_applications
raw_feature_personalization_classic.active_applications,source.feature_personalization_classic.active_applications
raw_feature_query_categorization.auto_filtering_configs,source.feature_query_categorization.auto_filtering_configs
raw_feature_query_categorization.logs,source.feature_query_categorization.logs
raw_feature_query_categorization.predictions,source.feature_query_categorization.predictions
raw_gainsight.account_scorecard_history,source.gainsight.account_scorecard_history
raw_gainsight.activity_timeline,source.gainsight.activity_timeline
raw_gainsight.ao_emails,source.gainsight.ao_emails
raw_gainsight.call_to_action,source.gainsight.call_to_action
raw_gainsight.call_to_action_snapshots,source.gainsight.call_to_action_snapshots
raw_gainsight.company,source.gainsight.company
raw_gainsight.email_log_v2,source.gainsight.email_log_v2
raw_gainsight.playbook,source.gainsight.playbook
raw_gainsight.success_plan,source.gainsight.success_plan
raw_gainsight.success_plan_configuration,source.gainsight.success_plan_configuration
raw_gainsight.success_plan_snapshots,source.gainsight.success_plan_snapshots
raw_gainsight.task,source.gainsight.task
raw_gainsight.task_snapshots,source.gainsight.task_snapshots
raw_gainsight.unified_scorecard_fact_company,source.gainsight.unified_scorecard_fact_company
raw_gainsight.user,source.gainsight.user
raw_galileo.report,source.galileo.report
raw_github.issues,source.github.issues
raw_github.stargazers,source.github.stargazers
raw_google_ads.account_history,source.google_ads.account_history
raw_google_ads.account_hourly_stats,source.google_ads.account_hourly_stats
raw_google_ads.account_stats,source.google_ads.account_stats
raw_google_ads.ad_custom_parameter_history,source.google_ads.ad_custom_parameter_history
raw_google_ads.ad_group_bidding_strategy_history,source.google_ads.ad_group_bidding_strategy_history
raw_google_ads.ad_group_criterion_history,source.google_ads.ad_group_criterion_history
raw_google_ads.ad_group_criterion_label_history,source.google_ads.ad_group_criterion_label_history
raw_google_ads.ad_group_custom_parameter_history,source.google_ads.ad_group_custom_parameter_history
raw_google_ads.ad_group_history,source.google_ads.ad_group_history
raw_google_ads.ad_group_hourly_stats,source.google_ads.ad_group_hourly_stats
raw_google_ads.ad_group_label_history,source.google_ads.ad_group_label_history
raw_google_ads.ad_group_stats,source.google_ads.ad_group_stats
raw_google_ads.ad_history,source.google_ads.ad_history
raw_google_ads.ad_label_history,source.google_ads.ad_label_history
raw_google_ads.ad_policy_topic_constraint_history,source.google_ads.ad_policy_topic_constraint_history
raw_google_ads.ad_policy_topic_evidence_history,source.google_ads.ad_policy_topic_evidence_history
raw_google_ads.ad_policy_topic_history,source.google_ads.ad_policy_topic_history
raw_google_ads.ad_stats,source.google_ads.ad_stats
raw_google_ads.audience_stats,source.google_ads.audience_stats
raw_google_ads.campaign_bidding_strategy_history,source.google_ads.campaign_bidding_strategy_history
raw_google_ads.campaign_budget_history,source.google_ads.campaign_budget_history
raw_google_ads.campaign_criterion_ad_schedule_history,source.google_ads.campaign_criterion_ad_schedule_history
raw_google_ads.campaign_criterion_history,source.google_ads.campaign_criterion_history
raw_google_ads.campaign_dynamic_search_ads_setting_history,source.google_ads.campaign_dynamic_search_ads_setting_history
raw_google_ads.campaign_geo_target_type_setting_history,source.google_ads.campaign_geo_target_type_setting_history
raw_google_ads.campaign_history,source.google_ads.campaign_history
raw_google_ads.campaign_hourly_stats,source.google_ads.campaign_hourly_stats
raw_google_ads.campaign_label_history,source.google_ads.campaign_label_history
raw_google_ads.campaign_network_setting_history,source.google_ads.campaign_network_setting_history
raw_google_ads.campaign_shared_set_history,source.google_ads.campaign_shared_set_history
raw_google_ads.campaign_stats,source.google_ads.campaign_stats
raw_google_ads.campaign_targeting_setting_history,source.google_ads.campaign_targeting_setting_history
raw_google_ads.click_stats,source.google_ads.click_stats
raw_google_ads.demand_gen_carousel_ad_history,source.google_ads.demand_gen_carousel_ad_history
raw_google_ads.demand_gen_multi_asset_ad_history,source.google_ads.demand_gen_multi_asset_ad_history
raw_google_ads.expanded_dynamic_search_ad_history,source.google_ads.expanded_dynamic_search_ad_history
raw_google_ads.expanded_landing_page_view,source.google_ads.expanded_landing_page_view
raw_google_ads.expanded_landing_page_view_click_type,source.google_ads.expanded_landing_page_view_click_type
raw_google_ads.expanded_text_ad_history,source.google_ads.expanded_text_ad_history
raw_google_ads.geo_target,source.google_ads.geo_target
raw_google_ads.image_ad_history,source.google_ads.image_ad_history
raw_google_ads.keyword_stats,source.google_ads.keyword_stats
raw_google_ads.label,source.google_ads.label
raw_google_ads.landing_page_stats,source.google_ads.landing_page_stats
raw_google_ads.responsive_display_ad_history,source.google_ads.responsive_display_ad_history
raw_google_ads.responsive_search_ad_history,source.google_ads.responsive_search_ad_history
raw_google_ads.search_keyword_stats,source.google_ads.search_keyword_stats
raw_google_ads.search_term_keyword_stats_report,source.google_ads.search_term_keyword_stats_report
raw_google_ads.search_term_stats,source.google_ads.search_term_stats
raw_google_ads.shared_criterion_history,source.google_ads.shared_criterion_history
raw_google_ads.shared_set_history,source.google_ads.shared_set_history
raw_google_ads.topic,source.google_ads.topic
raw_google_ads.user_interest,source.google_ads.user_interest
raw_google_ads.user_list,source.google_ads.user_list
raw_google_ads.video_ad_history,source.google_ads.video_ad_history
raw_google_analytics.ga_content,source.google_analytics.ga_content
raw_google_analytics.ga_events,source.google_analytics.ga_events
raw_google_analytics.ga_session_demographic,source.google_analytics.ga_session_demographic
raw_google_analytics.ga_session_source,source.google_analytics.ga_session_source
raw_google_analytics.ga_technology,source.google_analytics.ga_technology
raw_google_analytics_4.events,source.google_analytics_4.events
raw_google_sheets.growth_target,source.google_sheets.growth_target
raw_google_sheets.realmb_2_b,source.google_sheets.realmb_2_b
raw_helpscout.conversation,source.helpscout.conversation
raw_infrastructure.bay,source.infrastructure.bay
raw_infrastructure.cluster,source.infrastructure.cluster
raw_infrastructure.cluster_node,source.infrastructure.cluster_node
raw_infrastructure.cluster_operation,source.infrastructure.cluster_operation
raw_infrastructure.cpu_config,source.infrastructure.cpu_config
raw_infrastructure.edge_node,source.infrastructure.edge_node
raw_infrastructure.edge_pop,source.infrastructure.edge_pop
raw_infrastructure.edge_pop_operation,source.infrastructure.edge_pop_operation
raw_infrastructure.location,source.infrastructure.location
raw_infrastructure.machine_attribute_constraint,source.infrastructure.machine_attribute_constraint
raw_infrastructure.machine_constraint,source.infrastructure.machine_constraint
raw_infrastructure.metis_instance,source.infrastructure.metis_instance
raw_infrastructure.metis_instance_operation,source.infrastructure.metis_instance_operation
raw_infrastructure.network_interface,source.infrastructure.network_interface
raw_infrastructure.order,source.infrastructure.order
raw_infrastructure.order_line,source.infrastructure.order_line
raw_infrastructure.order_line_template,source.infrastructure.order_line_template
raw_infrastructure.provider,source.infrastructure.provider
raw_infrastructure.server,source.infrastructure.server
raw_infrastructure.server_operation,source.infrastructure.server_operation
raw_infrastructure.site,source.infrastructure.site
raw_infrastructure_costs.aws_cur_1_0,source.infrastructure_costs.aws_cur_1_0
raw_infrastructure_costs.aws_focus,source.infrastructure_costs.aws_focus
raw_infrastructure_costs.azure,source.infrastructure_costs.azure
raw_infrastructure_costs.azure_amortized,source.infrastructure_costs.azure_amortized
raw_infrastructure_costs.azure_daily_focus_costs,source.infrastructure_costs.azure_daily_focus_costs
raw_infrastructure_costs.azure_monthly_focus_costs,source.infrastructure_costs.azure_monthly_focus_costs
raw_jira.changelogs,source.jira.changelogs
raw_jira.components,source.jira.components
raw_jira.issue_comments,source.jira.issue_comments
raw_jira.issue_transitions,source.jira.issue_transitions
raw_jira.issues,source.jira.issues
raw_jira.project_categories,source.jira.project_categories
raw_jira.project_types,source.jira.project_types
raw_jira.projects,source.jira.projects
raw_jira.resolutions,source.jira.resolutions
raw_jira.versions,source.jira.versions
raw_jira.worklogs,source.jira.worklogs
raw_linkedin_ads.account_history,source.linkedin_ads.account_history
raw_linkedin_ads.account_serving_status_history,source.linkedin_ads.account_serving_status_history
raw_linkedin_ads.account_user_history,source.linkedin_ads.account_user_history
raw_linkedin_ads.ad_analytics_by_campaign,source.linkedin_ads.ad_analytics_by_campaign
raw_linkedin_ads.ad_analytics_by_creative,source.linkedin_ads.ad_analytics_by_creative
raw_linkedin_ads.ad_analytics_by_creative_with_conversion_breakdown,source.linkedin_ads.ad_analytics_by_creative_with_conversion_breakdown
raw_linkedin_ads.campaign_group_history,source.linkedin_ads.campaign_group_history
raw_linkedin_ads.campaign_group_serving_status_history,source.linkedin_ads.campaign_group_serving_status_history
raw_linkedin_ads.campaign_history,source.linkedin_ads.campaign_history
raw_linkedin_ads.campaign_serving_status_history,source.linkedin_ads.campaign_serving_status_history
raw_linkedin_ads.carousel_card,source.linkedin_ads.carousel_card
raw_linkedin_ads.content,source.linkedin_ads.content
raw_linkedin_ads.conversion_associated_campaign,source.linkedin_ads.conversion_associated_campaign
raw_linkedin_ads.conversion_history,source.linkedin_ads.conversion_history
raw_linkedin_ads.creative_history,source.linkedin_ads.creative_history
raw_linkedin_ads.creative_serving_status_history,source.linkedin_ads.creative_serving_status_history
raw_linkedin_ads.distribution_target_location,source.linkedin_ads.distribution_target_location
raw_linkedin_ads.function,source.linkedin_ads.function
raw_linkedin_ads.geo,source.linkedin_ads.geo
raw_linkedin_ads.in_mail_content_history,source.linkedin_ads.in_mail_content_history
raw_linkedin_ads.industry,source.linkedin_ads.industry
raw_linkedin_ads.lead_form_consent,source.linkedin_ads.lead_form_consent
raw_linkedin_ads.lead_form_hidden_field,source.linkedin_ads.lead_form_hidden_field
raw_linkedin_ads.lead_form_history,source.linkedin_ads.lead_form_history
raw_linkedin_ads.lead_form_question,source.linkedin_ads.lead_form_question
raw_linkedin_ads.lead_form_response,source.linkedin_ads.lead_form_response
raw_linkedin_ads.lead_form_response_answer,source.linkedin_ads.lead_form_response_answer
raw_linkedin_ads.monthly_ad_analytics_by_member_company,source.linkedin_ads.monthly_ad_analytics_by_member_company
raw_linkedin_ads.monthly_ad_analytics_by_member_company_size,source.linkedin_ads.monthly_ad_analytics_by_member_company_size
raw_linkedin_ads.monthly_ad_analytics_by_member_country,source.linkedin_ads.monthly_ad_analytics_by_member_country
raw_linkedin_ads.monthly_ad_analytics_by_member_industry,source.linkedin_ads.monthly_ad_analytics_by_member_industry
raw_linkedin_ads.monthly_ad_analytics_by_member_job_function,source.linkedin_ads.monthly_ad_analytics_by_member_job_function
raw_linkedin_ads.monthly_ad_analytics_by_member_job_title,source.linkedin_ads.monthly_ad_analytics_by_member_job_title
raw_linkedin_ads.monthly_ad_analytics_by_member_region,source.linkedin_ads.monthly_ad_analytics_by_member_region
raw_linkedin_ads.monthly_ad_analytics_by_member_seniority,source.linkedin_ads.monthly_ad_analytics_by_member_seniority
raw_linkedin_ads.organization,source.linkedin_ads.organization
raw_linkedin_ads.post_history,source.linkedin_ads.post_history
raw_linkedin_ads.seniority,source.linkedin_ads.seniority
raw_linkedin_ads.sponsored_message_content,source.linkedin_ads.sponsored_message_content
raw_linkedin_ads.sponsored_message_option,source.linkedin_ads.sponsored_message_option
raw_linkedin_ads.targeting_criteria_exclude_history,source.linkedin_ads.targeting_criteria_exclude_history
raw_linkedin_ads.targeting_criteria_include_history,source.linkedin_ads.targeting_criteria_include_history
raw_linkedin_ads.title,source.linkedin_ads.title
raw_marketo_v2.activities,source.marketo_v2.activities
raw_marketo_v2.leads,source.marketo_v2.leads
raw_next15.data,source.next15.data
raw_npm.daily_stats,source.npm.daily_stats
raw_npm.last_week_stats,source.npm.last_week_stats
raw_pigment.sales_quota,source.pigment.sales_quota
raw_product.dynamic_re_ranking_metadata,source.product.dynamic_re_ranking_metadata
raw_product.dynamic_synonyms_suggestions_metadata,source.product.dynamic_synonyms_suggestions_metadata
raw_product.recommend_metadata_detailed,source.product.recommend_metadata_detailed
raw_product.recommend_metadata_from_postgres_configuration,source.product.recommend_metadata_from_postgres_configuration
raw_product.recommend_metadata_from_postgres_model_type,source.product.recommend_metadata_from_postgres_model_type
raw_product.recommend_metadata_from_postgres_training,source.product.recommend_metadata_from_postgres_training
raw_product.synonyms_stats,source.product.synonyms_stats
raw_query_suggestions.config,source.query_suggestions.config
raw_realm_b2b.ad_performance,source.realm_b2b.ad_performance
raw_redshift_monitoring.queries,source.redshift_monitoring.queries
raw_revenue.entries,source.revenue.entries
raw_revenue.entries_snapshot_2020_06_05,source.revenue.entries_snapshot_2020_06_05
raw_revenue.entries_snapshot_2020_07_02,source.revenue.entries_snapshot_2020_07_02
raw_revenue.entries_snapshot_2020_07_10,source.revenue.entries_snapshot_2020_07_10
raw_revenue.entries_snapshot_2020_08_10,source.revenue.entries_snapshot_2020_08_10
raw_revenue.entries_snapshot_2020_09_10,source.revenue.entries_snapshot_2020_09_10
raw_revenue.entries_snapshot_2020_10_10,source.revenue.entries_snapshot_2020_10_10
raw_revenue.entries_snapshot_2020_11_01,source.revenue.entries_snapshot_2020_11_01
raw_revenue.entries_snapshot_2020_11_10,source.revenue.entries_snapshot_2020_11_10
raw_revenue.entries_snapshot_2020_12_10,source.revenue.entries_snapshot_2020_12_10
raw_revenue.entries_snapshot_2021_01_10,source.revenue.entries_snapshot_2021_01_10
raw_revenue.entries_snapshot_2021_02_10,source.revenue.entries_snapshot_2021_02_10
raw_revenue.entries_snapshot_2021_03_10,source.revenue.entries_snapshot_2021_03_10
raw_revenue.entries_snapshot_2021_04_10,source.revenue.entries_snapshot_2021_04_10
raw_revenue.entries_snapshot_2021_05_04,source.revenue.entries_snapshot_2021_05_04
raw_revenue.entries_snapshot_2021_05_10,source.revenue.entries_snapshot_2021_05_10
raw_revenue.entries_snapshot_2021_06_10,source.revenue.entries_snapshot_2021_06_10
raw_revenue.entries_snapshot_2021_07_10,source.revenue.entries_snapshot_2021_07_10
raw_revenue.entries_snapshot_2021_08_06,source.revenue.entries_snapshot_2021_08_06
raw_revenue.entries_snapshot_2021_08_10,source.revenue.entries_snapshot_2021_08_10
raw_revenue.entries_snapshot_2021_09_05,source.revenue.entries_snapshot_2021_09_05
raw_revenue.entries_snapshot_2021_10_05,source.revenue.entries_snapshot_2021_10_05
raw_revenue.entries_snapshot_2021_10_06,source.revenue.entries_snapshot_2021_10_06
raw_revenue.entries_snapshot_2021_11_03,source.revenue.entries_snapshot_2021_11_03
raw_revenue.entries_snapshot_2021_12_03,source.revenue.entries_snapshot_2021_12_03
raw_revenue.entries_snapshot_2022_01_03,source.revenue.entries_snapshot_2022_01_03
raw_revenue.entries_snapshot_2022_02_03,source.revenue.entries_snapshot_2022_02_03
raw_revenue.entries_snapshot_2022_03_03,source.revenue.entries_snapshot_2022_03_03
raw_revenue.entries_snapshot_2022_04_03,source.revenue.entries_snapshot_2022_04_03
raw_revenue.entries_snapshot_2022_05_03,source.revenue.entries_snapshot_2022_05_03
raw_revenue.entries_snapshot_2022_06_03,source.revenue.entries_snapshot_2022_06_03
raw_revenue.entries_snapshot_2022_07_03,source.revenue.entries_snapshot_2022_07_03
raw_revenue.entries_snapshot_2022_08_03,source.revenue.entries_snapshot_2022_08_03
raw_revenue.entries_snapshot_2022_09_03,source.revenue.entries_snapshot_2022_09_03
raw_revenue.entries_snapshot_2022_10_03,source.revenue.entries_snapshot_2022_10_03
raw_revenue.entries_snapshot_2022_11_03,source.revenue.entries_snapshot_2022_11_03
raw_revenue.entries_snapshot_2022_12_03,source.revenue.entries_snapshot_2022_12_03
raw_revenue.entries_snapshot_2023_01_03,source.revenue.entries_snapshot_2023_01_03
raw_revenue.entries_snapshot_2023_02_03,source.revenue.entries_snapshot_2023_02_03
raw_revenue.entries_snapshot_2023_03_03,source.revenue.entries_snapshot_2023_03_03
raw_revenue.entries_snapshot_2023_04_03,source.revenue.entries_snapshot_2023_04_03
raw_revenue.entries_snapshot_2023_05_03,source.revenue.entries_snapshot_2023_05_03
raw_revenue.entries_snapshot_2023_06_03,source.revenue.entries_snapshot_2023_06_03
raw_revenue.entries_snapshot_2023_06_12,source.revenue.entries_snapshot_2023_06_12
raw_revenue.entries_snapshot_2023_07_03,source.revenue.entries_snapshot_2023_07_03
raw_revenue.entries_snapshot_2023_08_03,source.revenue.entries_snapshot_2023_08_03
raw_revenue.entries_snapshot_2023_08_11,source.revenue.entries_snapshot_2023_08_11
raw_revenue.entries_snapshot_2023_09_03,source.revenue.entries_snapshot_2023_09_03
raw_revenue.entries_snapshot_2023_10_03,source.revenue.entries_snapshot_2023_10_03
raw_revenue.entries_snapshot_2023_11_03,source.revenue.entries_snapshot_2023_11_03
raw_revenue.entries_snapshot_2023_11_06,source.revenue.entries_snapshot_2023_11_06
raw_revenue.entries_snapshot_2023_12_03,source.revenue.entries_snapshot_2023_12_03
raw_revenue.entries_snapshot_2024_01_03,source.revenue.entries_snapshot_2024_01_03
raw_revenue.entries_snapshot_2024_02_03,source.revenue.entries_snapshot_2024_02_03
raw_revenue.entries_snapshot_2024_03_03,source.revenue.entries_snapshot_2024_03_03
raw_revenue.entries_snapshot_2024_03_18,source.revenue.entries_snapshot_2024_03_18
raw_revenue.entries_snapshot_2024_04_03,source.revenue.entries_snapshot_2024_04_03
raw_revenue.entries_snapshot_2024_05_03,source.revenue.entries_snapshot_2024_05_03
raw_revenue.entries_snapshot_2024_06_03,source.revenue.entries_snapshot_2024_06_03
raw_revenue.entries_snapshot_2024_07_03,source.revenue.entries_snapshot_2024_07_03
raw_revenue.entries_snapshot_2024_08_03,source.revenue.entries_snapshot_2024_08_03
raw_revenue.entries_snapshot_2024_09_03,source.revenue.entries_snapshot_2024_09_03
raw_revenue.entries_snapshot_2024_10_03,source.revenue.entries_snapshot_2024_10_03
raw_revenue.entries_snapshot_2024_11_03,source.revenue.entries_snapshot_2024_11_03
raw_revenue.entries_snapshot_2024_12_03,source.revenue.entries_snapshot_2024_12_03
raw_revenue.entries_snapshot_2025_01_03,source.revenue.entries_snapshot_2025_01_03
raw_revenue.entries_snapshot_2025_02_03,source.revenue.entries_snapshot_2025_02_03
raw_revenue.entries_snapshot_2025_03_03,source.revenue.entries_snapshot_2025_03_03
raw_revenue.entries_snapshot_2025_04_03,source.revenue.entries_snapshot_2025_04_03
raw_revenue.entries_snapshot_2025_05_03,source.revenue.entries_snapshot_2025_05_03
raw_revenue.evolutions,source.revenue.evolutions
raw_revenue.evolutions_snapshot_2020_06_05,source.revenue.evolutions_snapshot_2020_06_05
raw_revenue.evolutions_snapshot_2020_07_02,source.revenue.evolutions_snapshot_2020_07_02
raw_revenue.evolutions_snapshot_2020_07_10,source.revenue.evolutions_snapshot_2020_07_10
raw_revenue.evolutions_snapshot_2020_08_10,source.revenue.evolutions_snapshot_2020_08_10
raw_revenue.evolutions_snapshot_2020_09_10,source.revenue.evolutions_snapshot_2020_09_10
raw_revenue.evolutions_snapshot_2020_10_10,source.revenue.evolutions_snapshot_2020_10_10
raw_revenue.evolutions_snapshot_2020_11_01,source.revenue.evolutions_snapshot_2020_11_01
raw_revenue.evolutions_snapshot_2020_11_10,source.revenue.evolutions_snapshot_2020_11_10
raw_revenue.evolutions_snapshot_2020_12_10,source.revenue.evolutions_snapshot_2020_12_10
raw_revenue.evolutions_snapshot_2021_01_10,source.revenue.evolutions_snapshot_2021_01_10
raw_revenue.evolutions_snapshot_2021_02_10,source.revenue.evolutions_snapshot_2021_02_10
