Redshift Table,Databricks Table
prod_dimensional.dim_intermediate_domain_email_organization_lookup,analytics.dimensional.dim_intermediate_domain_email_organization_lookup
prod_dimensional.dim_intermediate_inactive_user_organizations,analytics.dimensional.dim_intermediate_inactive_user_organizations
prod_dimensional.dim_intermediate_organization_classification,analytics.dimensional.dim_intermediate_organization_classification
prod_dimensional.dim_intermediate_partner_list,analytics.dimensional.dim_intermediate_partner_list
prod_dimensional.dim_intermediate_specific_organizations,analytics.dimensional.dim_intermediate_specific_organizations
prod_dimensional.dim_jira_ticket,analytics.dimensional.dim_jira_ticket
prod_dimensional.dim_lead,analytics.dimensional.dim_lead
prod_dimensional.dim_marketing_sourced_opportunity,analytics.dimensional.dim_marketing_sourced_opportunity
prod_dimensional.dim_metis_instance,analytics.dimensional.dim_metis_instance
prod_dimensional.dim_naics_reference,analytics.dimensional.dim_naics_reference
prod_dimensional.dim_opportunity_customer_success,analytics.dimensional.dim_opportunity_customer_success
prod_dimensional.dim_opportunity_gap,analytics.dimensional.dim_opportunity_gap
prod_dimensional.dim_person,analytics.dimensional.dim_person
prod_dimensional.dim_person_instance,analytics.dimensional.dim_person_instance
prod_dimensional.dim_person_onboarding,analytics.dimensional.dim_person_onboarding
prod_dimensional.dim_plan,analytics.dimensional.dim_plan
prod_dimensional.dim_pricebook,analytics.dimensional.dim_pricebook
prod_dimensional.dim_product_adoption,analytics.dimensional.dim_product_adoption
prod_dimensional.dim_product_gap,analytics.dimensional.dim_product_gap
prod_dimensional.dim_salesforce_user,analytics.dimensional.dim_salesforce_user
prod_dimensional.dim_success_plan,analytics.dimensional.dim_success_plan
prod_dimensional.dim_success_plan_snapshot,analytics.dimensional.dim_success_plan_snapshot
prod_dimensional.dim_support_project,analytics.dimensional.dim_support_project
prod_dimensional.dim_support_ticket,analytics.dimensional.dim_support_ticket
prod_dimensional.dim_use_case,analytics.dimensional.dim_use_case
prod_dimensional.dim_user,analytics.dimensional.dim_user
prod_dimensional.dim_user_all,analytics.dimensional.dim_user_all
prod_dimensional.dim_user_application,analytics.dimensional.dim_user_application
prod_dimensional.dim_user_application_organization,analytics.dimensional.dim_user_application_organization
prod_dimensional.dim_user_manager_history,analytics.dimensional.dim_user_manager_history
prod_dimensional.dim_website_visitor,analytics.dimensional.dim_website_visitor
prod_dimensional.dim_xdr_meeting_detail,analytics.dimensional.dim_xdr_meeting_detail
prod_dimensional.dimensional_intermediate_generic_organizations,analytics.dimensional.dimensional_intermediate_generic_organizations
prod_dimensional.fact_academy_certification,analytics.dimensional.fact_academy_certification
prod_dimensional.fact_academy_registration,analytics.dimensional.fact_academy_registration
prod_dimensional.fact_account_executive_sales_quota,analytics.dimensional.fact_account_executive_sales_quota
prod_dimensional.fact_account_snapshot,analytics.dimensional.fact_account_snapshot
prod_dimensional.fact_algolia_site_metrics,analytics.dimensional.fact_algolia_site_metrics
prod_dimensional.fact_call_to_action,analytics.dimensional.fact_call_to_action
prod_dimensional.fact_call_to_action_snapshot,analytics.dimensional.fact_call_to_action_snapshot
prod_dimensional.fact_coupon_consumption,analytics.dimensional.fact_coupon_consumption
prod_dimensional.fact_creative_performance,analytics.dimensional.fact_creative_performance
prod_dimensional.fact_employee_history,analytics.dimensional.fact_employee_history
prod_dimensional.fact_event_person_action,analytics.dimensional.fact_event_person_action
prod_dimensional.fact_event_view_page,analytics.dimensional.fact_event_view_page
prod_dimensional.fact_ga4_content,analytics.dimensional.fact_ga4_content
prod_dimensional.fact_ga4_events,analytics.dimensional.fact_ga4_events
prod_dimensional.fact_ga4_sessions,analytics.dimensional.fact_ga4_sessions
prod_dimensional.fact_incremental_meas_usage_daily_per_application,analytics.dimensional.fact_incremental_meas_usage_daily_per_application
prod_dimensional.fact_invoice,analytics.dimensional.fact_invoice
prod_dimensional.fact_invoice_entry,analytics.dimensional.fact_invoice_entry
prod_dimensional.fact_jira_ticket_changelog,analytics.dimensional.fact_jira_ticket_changelog
prod_dimensional.fact_marketing_touchpoint,analytics.dimensional.fact_marketing_touchpoint
